TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-04-05 11:42:14,1775389334189,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,qmn47-1775389333008-c025a3366d55,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:13,1775389333008,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,qmn47-1775389333008-c025a3366d55,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1120,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6NHWND4RE7MMA5HF72RG,,-1
2026-04-05 11:42:13,1775389333464,cto-backend-chi.vercel.app/favicon.ico,GET,,500,nlc88-1775389332149-bf0a0ea21d84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/,cto-backend-chi.vercel.app,cto-backend-chi.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:12,1775389332149,cto-backend-chi.vercel.app/favicon.ico,GET,,500,nlc88-1775389332149-bf0a0ea21d84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/,cto-backend-chi.vercel.app,cto-backend-chi.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1107,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6MVMHC0AYVWQQC4631D1,,-1
2026-04-05 11:42:11,1775389331960,cto-backend-chi.vercel.app/,GET,,500,kfpb7-1775389330528-aa831c1f0fe0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/,cto-backend-chi.vercel.app,cto-backend-chi.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:10,1775389330528,cto-backend-chi.vercel.app/,GET,,500,kfpb7-1775389330528-aa831c1f0fe0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/,cto-backend-chi.vercel.app,cto-backend-chi.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1106,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6KCTXCP5F39CTQ1T4HXC,,-1
2026-04-05 11:42:10,1775389330881,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,jj4gl-1775389329678-9458c50163a7,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:09,1775389329678,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,jj4gl-1775389329678-9458c50163a7,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1154,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6J9K2AEBZFT27XE6QPZV,,-1
2026-04-05 11:42:08,1775389328561,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,5dwmp-1775389327372-f58423c61da5,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:07,1775389327372,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,5dwmp-1775389327372-f58423c61da5,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1130,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6G1RQZG1MGDB5RBCTFN1,,-1
